tabela,campo,grupo,descricao,cuidados
master_orders,order_sn,Identificacao,Numero do pedido na Shopee. E o mesmo codigo que aparece no painel do vendedor.,"Para contar pedidos use count(distinct order_sn), nunca count(*), porque cada linha e um item e nao um pedido. Os 6 primeiros digitos parecem data (AAMMDD) mas seguem o relogio de Singapura: nunca extraia data dai, use create_time convertido para America/Sao_Paulo."
master_orders,canal,Identificacao,"O marketplace de onde veio o pedido. Hoje sempre 'shopee', porque e o unico canal da loja.","A coluna existe desde ja para o DRE por canal funcionar dos dois lados - a despesa_operacional tambem tem canal. Enquanto for constante ela nao separa nada; quando o Mercado Livre entrar, passa a separar. Nunca apresente numero desta tabela como 'total' da operacao sem dizer o canal."
master_orders,item_id,Identificacao,Codigo interno da Shopee para o produto pai.,
master_orders,model_id,Identificacao,"Codigo interno da Shopee para a variacao vendida (cor, tamanho). Fica vazio em produtos sem variacao.",
master_orders,item_sku,Identificacao,"Seu codigo de produto, quando cadastrado no nivel do produto pai.",Vem vazio em produtos com variacao. Prefira usar sku_custo.
master_orders,sku_custo,Identificacao,"O codigo que realmente identifica o que foi vendido: pega a variacao quando existe, senao o produto pai. E por ele que a tabela busca o custo na planilha.",Este e o campo a usar para agrupar por produto.
master_orders,item_name,Identificacao,Nome do produto como aparece no anuncio.,
master_orders,model_name,Identificacao,Nome da variacao vendida. Exemplo: Marrom-Escuro | Potes-Preto.,
master_orders,create_time,Data e status,"Data e hora em que o pedido foi feito, em UTC (3h a frente de Sao Paulo).","Esta e a data a usar para analises por periodo, mas SEMPRE converta o fuso: date(create_time, 'America/Sao_Paulo'). Sem converter, cerca de 16% dos pedidos caem no dia seguinte."
master_orders,pay_time,Data e status,"Data e hora do pagamento, em UTC. Costuma ser igual ou poucos minutos depois da criacao do pedido.","Mesmo cuidado de fuso do create_time. Serve para conciliacao financeira, nao para serie temporal de vendas."
